x,y,z
"18681 Main St Ste 101Huntington Beach, CA 92648",-117.9926713,33.6924781
"3329 S Bristol StSanta Ana, CA 92704",-117.8842891,33.701218
"13920 City Center Dr Ste 200Chino Hills, CA 91709",-117.7293653,34.0010504
"4681 Edison AveChino, CA 91710",-117.703431,33.9952333
"26517 Bouquet Canyon RdSanta Clarita, CA 91350",-118.5382822,34.4285573
"21431 Brookhurst StHuntington Beach, CA 92646",-117.9548912,33.6513584
"19655 Yorba Linda BlvdYorba Linda, CA 92886",-117.7922,33.88961
"13911 Peyton DrChino Hills, CA 91709",-117.7321143,34.0005411
"28941 Canwood StAgoura Hills, CA 91301",-118.7566493,34.1464425
"475 W Foothill BlvdClaremont, CA 91711",-117.7220344,34.1073921
"4121 Atlantic AveLong Beach, CA 90807",-118.1853585,33.8328896
"15025 Whittier Blvd Ste CWhittier, CA 90603",-118.0053906,33.9493596
"800 S Shamrock AveMonrovia, CA 91016",-117.9901536,34.1427734
"6150 W Slauson AveCulver City, CA 90230",-118.3927211,33.9881091
"3035 Huntington DrPasadena, CA 91107",-118.0894848,34.1278856
"4210 Long Beach BlvdLong Beach, CA 90807",-118.1883956,33.8355288
"1100 Pacific Coast HwyHermosa Beach, CA 90254",-118.3919357,33.8636131
"3212 Pico BlvdSanta Monica, CA 90405",-118.4557655,34.0263541
"214 E Alameda AveBurbank, CA 91502",-118.2988584,34.1749504
"475 Foothill Blvd Ste DLa Canada Flintridge, CA 91011",-118.18902,34.200542
"1821 Manhattan Beach BlvdManhattan Beach, CA 90266",-118.3799,33.88763
"2462 Honolulu AveMontrose, CA 91020",-118.2331547,34.2069873
"1800 Rosecrans AveManhattan Beach, CA 90266",-118.3803682,33.9012455
"6751 Fallbrook AveWest Hills, CA 91307",-118.6258129,34.1922146
"10330 Mason AveChatsworth, CA 91311",-118.5787259,34.2582985
"21055 Ventura BlvdWoodland Hills, CA 91364",-118.5923,34.16726
"856 W Arrow HwySan Dimas, CA 91773",-117.8214091,34.1034966
"17640 Burbank BlvdEncino, CA 91316",-118.5177696,34.1717937
"2545 Pacific Coast HwyTorrance, CA 90505",-118.330186,33.790641
"21054 Clarendon StWoodland Hills, CA 91364",-118.5916396,34.1680463
"6451 E Pacific Coast HwyLong Beach, CA 90803",-118.1089303,33.7576624
"11114 Balboa BlvdGranada Hills, CA 91344",-118.5016054,34.272659
"2222 N Bellflower BlvdLong Beach, CA 90815",-118.1229815,33.7967882
"1761 S Elena AveRedondo Beach, CA 90277",-118.386143,33.8185616
"28901 S Western AveRancho Palos Verdes, CA 90275",-118.3108978,33.7561213
"2500 E Imperial Hwy Ste 177Brea, CA 92821",-117.8670301,33.9103671
"31176 Hawthorne BlvdRancho Palos Verdes, CA 90275",-118.4066803,33.7493301
"16821 Algonquin StHuntington Beach, CA 92649",-118.0514926,33.7175069
"3835 E Thousand Oaks BlvdWestlake Village, CA 91362",-118.8244971,34.1638189
"2114 N Tustin StOrange, CA 92865",-117.836485,33.823182
"2975 Cochran St Ste ASimi Valley, CA 93065",-118.7384764,34.2810581
"263 S La Brea AveLos Angeles, CA 90036",-118.3444142,34.0691505
"8500 Burton WayLos Angeles, CA 90048",-118.3770723,34.0711634
"3131 S Hoover StLos Angeles, CA 90089",-118.2847667,34.0257729
"8000 W Sunset BlvdLos Angeles, CA 90046",-118.365233,34.0976043
"2738 Hyperion AveLos Angeles, CA 90027",-118.2717179,34.1077161
"1600 Vine StLos Angeles, CA 90028",-118.3260586,34.1003784
"1566 Colorado BlvdLos Angeles, CA 90041",-118.2003847,34.1391268
"175 S Fairfax AveLos Angeles, CA 90036",-118.3618536,34.0720748
"8645 S Sepulveda BlvdLos Angeles, CA 90045",-118.3966503,33.9586743
"10850 National BlvdLos Angeles, CA 90064",-118.4214902,34.0300538
"11755 W Olympic BlvdLos Angeles, CA 90064",-118.4493107,34.0337159
"3456 S Sepulveda BlvdLos Angeles, CA 90034",-118.4221,34.02049
"10840 National BlvdLos Angeles, CA 90064",-118.4208913,34.0298772
"1000 Glendon AveLos Angeles, CA 90024",-118.4437742,34.0622696
"7310 Santa Monica BlvdWest Hollywood, CA 90046",-118.3490712,34.0905388
"103 E Glenoaks BlvdGlendale, CA 91207",-118.2544969,34.1598273
"610 S Arroyo PkwyPasadena, CA 91105",-118.1468743,34.1351409
"613 Mission StSouth Pasadena, CA 91030",-118.1629729,34.1153043
"8645 Sepulveda WestwayLos Angeles, CA 90045",-118.3984014,33.9592432
"8611 Santa Monica BlvdWest Hollywood, CA 90069",-118.3796245,34.087987
"9290 Culver BlvdCulver City, CA 90232",-118.392916,34.025188
"345 S Lake Ave Ste 203Pasadena, CA 91101",-118.1329065,34.1400495
"7260 Rosemead BlvdSan Gabriel, CA 91775",-118.0725238,34.1294351
"10130 Riverside DrToluca Lake, CA 91602",-118.3519476,34.1519738
"467 N Rosemead BlvdPasadena, CA 91107",-118.078195,34.1537035
"11976 Ventura BlvdStudio City, CA 91604",-118.393111,34.143049
"14119 Riverside DrSherman Oaks, CA 91423",-118.4408137,34.1579742
"19720 Hawthorne BlvdTorrance, CA 90503",-118.3532856,33.8522499
"604 W Huntington DrMonrovia, CA 91016",-118.0120571,34.1378794
"12861 Towne Center DrCerritos, CA 90703",-118.0581293,33.8692417
