Census,X_Center,Y_Center,lats,lngs,nearest_ralphs,nearest_ralphs_lat,nearest_ralphs_long,nearest_traderjoes,nearest_traderjoes_lat,nearest_traderjoes_long,nearest_library,nearest_library_lat,nearest_library_long,X2015ZRI,X2016ZRI,X2017ZRI,X2015ZHVI,X2016ZHVI,X2017ZHVI,Citations,Coffee,Restaurants,Shelters,totCars,totVans,totCampers,totTents,totEncamp,totCarPeople,totVanPeople,totCamperPeople,totTentPeople,totEncampPeople,totUnsheltPeople,totSheltPeople,totPeople,CrimeCount,MedHouseIncomes,HousingUnits,BusStops,X2015HousedPopulation,totHomeless2015,totHomeless2016,totHomeless2017,X2015Popin1Mi,X2016Popin1Mi,X2017Popin1Mi,TractSqMi
101110,6473137.319,1916938.497,34.25947365,-118.2929869,2902.336037,34.2416022,-118.2700209,8028.716931,34.2069873,-118.2331547,755.6317452,34.2583944,-118.3010953,2685.416667,2850.958333,2970.944444,585920.8333,633941.6667,679911.1111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,95,54489,0,2,4885,0,6,1,57,66,51.495,0.441045853
101122,6474004.24,1919937.467,34.26772131,-118.2901465,3447.169232,34.2416022,-118.2700209,8556.790411,34.2069873,-118.2331547,1446.602373,34.2583944,-118.3010953,2685.416667,2850.958333,2970.944444,585920.8333,633941.6667,679911.1111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,119500,0,0,3805,0,6,0,80.91666667,19,1,1.020779967
101210,6473812.157,1914570.598,34.25297238,-118.2907309,2287.741133,34.2416022,-118.2700209,7367.881671,34.2069873,-118.2331547,1128.582588,34.2583944,-118.3010953,2704.722222,2896.527778,3012.481481,623527.7778,672894.4444,721037.037,0,0,2,0,0,0,1,0,0,0,0,2,0,0,5,0,5,141,42769,0,5,6485,18,19,5.095,44.75,62,46.995,0.251211351
101220,6476560.222,1914066.411,34.25160845,-118.2816322,1543.491532,34.2416022,-118.2700209,6676.870434,34.2069873,-118.2331547,1943.607893,34.2583944,-118.3010953,2704.722222,2896.527778,3012.481481,623527.7778,672894.4444,721037.037,0,1,3,1,0,0,0,0,0,0,0,0,0,0,34,0,34,82,51926,0,4,3509,33,39,34,41.5,75,38.198,0.269850002
101300,6479770.768,1913027.367,34.24877755,-118.2709988,803.8092604,34.2416022,-118.2700209,5811.553671,34.2069873,-118.2331547,2968.953603,34.2583944,-118.3010953,2845.041667,3059.375,3181.111111,696558.3333,751179.1667,799000,0,0,9,0,0,0,0,3,0,0,0,0,5,0,20,0,20,99,92042,0,7,4222,11.75,33,20.108,33,39,34,0.996216926
101400,6472764.091,1910891.136,34.24285336,-118.2941635,2226.061179,34.2416022,-118.2700209,6890.1268,34.2069873,-118.2331547,1843.853811,34.2583944,-118.3010953,2725.041667,2917.041667,3039.444444,638020.8333,687910.4167,736936.1111,0,1,9,0,0,2,4,0,0,0,4,8,0,0,12,0,12,107,61763,46,9,3977,11.75,17,11.995,51,58,39.095,2.435794449
102103,6454600.666,1904481.361,34.22507926,-118.354188,4017.970624,34.2225182,-118.3977306,7555.851386,34.1749504,-118.2988584,1915.120984,34.2148849,-118.3709474,2497.222222,2663,2765.740741,515029.1667,555719.4444,596981.4815,0,0,0,0,0,1,3,0,0,0,2,6,0,0,8,0,8,67,81458,0,4,1813,5.1,20,8.093,36.74285714,60,35.577,0.458064996
102104,6457244.795,1901235.929,34.21618657,-118.345404,3629.70243,34.183956,-118.3394374,6280.031019,34.1749504,-118.2988584,2355.812699,34.2148849,-118.3709474,2535.814815,2715.462963,2813.888889,555572.9167,599035.4167,640027.7778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,77279,0,9,3782,18.6,28,0,19.27142857,51,41.505,0.640903126
102105,6456069.928,1898941.775,34.20987141,-118.3492638,3023.43632,34.183956,-118.3394374,6054.173377,34.1749504,-118.2988584,2072.672092,34.2148849,-118.3709474,2541.62963,2726.981481,2822.765432,559280.2083,605238.5417,642034.7222,0,0,0,0,1,0,3,0,1,2,0,6,0,2,10,0,10,31,37308,0,0,1830,5.1,10,9.802,27.67142857,49,23.61,0.190035295
102107,6459510.372,1910066.662,34.2404733,-118.3380083,2458.219533,34.26048,-118.3267,8135.87133,34.1749504,-118.2988584,3939.129199,34.2583944,-118.3010953,2560.375,2741.458333,2851.305556,566175,610177.0833,656441.6667,0,0,0,0,0,2,0,0,0,0,4,0,0,0,5,0,5,80,61103,0,15,3916,14.25,0,4.616,0,0,0,4.98893261
