x,y,z
"260 S La Brea AveLos Angeles, CA 90036",-118.3435467,34.0699676
"5601 Wilshire BlvdLos Angeles, CA 90036",-118.3507605,34.0628023
"3410 W 3rd StLos Angeles, CA 90020",-118.2906,34.06833
"645 W 9th StLos Angeles, CA 90015",-118.2607077,34.0458178
"5080 Rodeo RdLos Angeles, CA 90016",-118.3550926,34.021536
"5429 Hollywood BlvdLos Angeles, CA 90027",-118.3082385,34.1022552
"7257 W Sunset BlvdLos Angeles, CA 90046",-118.3484549,34.0985099
"4760 W Pico BlvdLos Angeles, CA 90019",-118.3394043,34.047822
"2600 S Vermont AveLos Angeles, CA 90007",-118.2910958,34.0320489
"670 S Western AveLos Angeles, CA 90005",-118.3084775,34.0600185
"3300 W Slauson AveLos Angeles, CA 90043",-118.3297596,33.9875329
"645 W 9th StLos Angeles, CA 90015",-118.2607077,34.0458178
"4030 S Western AveLos Angeles, CA 90062",-118.3081935,34.0098726
"1730 W Manchester AveLos Angeles, CA 90047",-118.3079294,33.959283
"9040 Beverly BlvdLos Angeles, CA 90048",-118.3890801,34.0771807
"11727 W Olympic BlvdLos Angeles, CA 90064",-118.449258,34.0349764
"5245 W Centinela AveLos Angeles, CA 90045",-118.3715,33.97906
"10861 Weyburn AveLos Angeles, CA 90024",-118.44373,34.0634119
"11727 W Olympic BlvdLos Angeles, CA 90064",-118.449258,34.0349764
"10309 W Olympic BlvdLos Angeles, CA 90064",-118.4178931,34.0524507
"12057 Wilshire BlvdLos Angeles, CA 90025",-118.4669613,34.0449181
"9616 W Pico BlvdLos Angeles, CA 90035",-118.3979122,34.0548658
"8824 S Sepulveda BlvdLos Angeles, CA 90045",-118.3977982,33.9563413
"11361 National BlvdLos Angeles, CA 90064",-118.4333223,34.0260649
"8701 Lincoln BlvdLos Angeles, CA 90045",-118.418582,33.958205
"11922 S Vermont AveLos Angeles, CA 90044",-118.2909401,33.9250636
"5429 Hollywood BlvdLos Angeles, CA 90027",-118.3082385,34.1022552
"4901 S Santa Fe AveVernon, CA 90058",-118.2306358,33.9983497
"1233 N La Brea AveWest Hollywood, CA 90038",-118.3446,34.09347
"1200 N Central AveGlendale, CA 91202",-118.2562255,34.1644142
"1416 E Colorado StGlendale, CA 91205",-118.233205,34.1427682
"345 E Main StAlhambra, CA 91801",-118.1237889,34.0976049
"2230 S Atlantic BlvdMonterey Park, CA 91754",-118.1449087,34.0371797
"211 N Glendale AveGlendale, CA 91206",-118.2483963,34.148433
"330 N Atlantic BlvdMonterey Park, CA 91754",-118.133572,34.0653059
"1745 Garfield AveSouth Pasadena, CA 91030",-118.1352714,34.1049719
"4627 York BlvdLos Angeles, CA 90041",-118.2150842,34.1232296
"950 N La Brea AveInglewood, CA 90302",-118.3569697,33.9754594
"320 W Colorado BlvdPasadena, CA 91105",-118.1569976,34.1451553
"10900 Magnolia BlvdNorth Hollywood, CA 91601",-118.3678,34.16445
"9470 Las Tunas DrTemple City, CA 91780",-118.0641835,34.1055481
"12921 Magnolia BlvdSherman Oaks, CA 91423",-118.4143827,34.1648809
"4700 Admiralty WayMarina Del Rey, CA 90292",-118.4388,33.97908
"520 Workman Mill RdLa Puente, CA 91746",-117.9977567,34.0397619
"2600 W Victory BlvdBurbank, CA 91505",-118.3394374,34.183956
"2675 Foothill BlvdLa Crescenta, CA 91214",-118.2365614,34.2233388
"7221 Woodman AveVan Nuys, CA 91405",-118.4321005,34.2019702
"160 N Lake AvePasadena, CA 91101",-118.1311948,34.1489998
"6657 Laurel Canyon BlvdNorth Hollywood, CA 91606",-118.3975061,34.1917471
"14440 Burbank BlvdSherman Oaks, CA 91401",-118.4470663,34.1721301
"1644 Cloverfield BlvdSanta Monica, CA 90404",-118.4738969,34.0270382
"8325 Laurel Canyon BlvdSun Valley, CA 91352",-118.3977306,34.2225182
"910 Lincoln BlvdVenice, CA 90291",-118.4614863,33.999272
"3601 E Foothill BlvdPasadena, CA 91107",-118.0749384,34.150927
"211 E Foothill BlvdArcadia, CA 91006",-118.02455,34.151713
"1770 W Carson StTorrance, CA 90501",-118.3110749,33.8300424
"12842 Ventura BlvdStudio City, CA 91604",-118.4131155,34.1441317
"500 N Sepulveda BlvdEl Segundo, CA 90245",-118.3955891,33.9219946
"1644 Cloverfield BlvdSanta Monica, CA 90404",-118.4738969,34.0270382
"16325 Ventura BlvdEncino, CA 91436",-118.489694,34.1576322
"3035 Huntington DrPasadena, CA 91107",-118.0894848,34.1278856
"911 E Washington BlvdPasadena, CA 91104",-118.1318599,34.1691954
"14437 Ventura BlvdSherman Oaks, CA 91423",-118.4461429,34.1505498
"4048 E Live Oak AveArcadia, CA 91006",-118.0159098,34.1090555
"120 Hawthorne BlvdRedondo Beach, CA 90278",-118.3546265,33.8717618
"1100 N San Fernando BlvdBurbank, CA 91504",-118.3181587,34.1890481
"10901 Ventura BlvdStudio City, CA 91604",-118.3680984,34.1400425
"12842 Ventura BlvdStudio City, CA 91604",-118.4131155,34.1441317
"10455 Sunland BlvdSunland, CA 91040",-118.3267,34.26048
"650 E Carson StCarson, CA 90745",-118.264448,33.8303087
"11825 Whittier BlvdWhittier, CA 90601",-118.0495,33.98211
"17500 Crenshaw BlvdTorrance, CA 90504",-118.325728,33.8718293
"14919 Whittier BlvdWhittier, CA 90605",-118.0071724,33.9499984
"15120 W Sunset BlvdPacific Palisades, CA 90272",-118.5241058,34.0449241
"9320 Slauson AvePico Rivera, CA 90660",-118.0979112,33.968349
"25 E Alameda AveBurbank, CA 91502",-118.3021752,34.1731515
"14049 Ventura BlvdSherman Oaks, CA 91423",-118.439128,34.1499728
"3827 Culver CtrCulver City, CA 90232",-118.4077773,34.0173875
"8626 Firestone BlvdDowney, CA 90241",-118.1271349,33.9359952
"13321 South StCerritos, CA 90703",-118.0476208,33.8601189
"17840 Ventura BlvdEncino, CA 91316",-118.5215,34.16266
"2201 W Redondo Beach BlvdGardena, CA 90247",-118.3184445,33.8869358
