Census,X_Center,Y_Center,lats,lngs
101110,6473137.319,1916938.497,34.25947365,-118.2929869
101122,6474004.24,1919937.467,34.26772131,-118.2901465
101210,6473812.157,1914570.598,34.25297238,-118.2907309
101220,6476560.222,1914066.411,34.25160845,-118.2816322
101300,6479770.768,1913027.367,34.24877755,-118.2709988
101400,6472764.091,1910891.136,34.24285336,-118.2941635
102103,6454600.666,1904481.361,34.22507926,-118.354188
102104,6457244.795,1901235.929,34.21618657,-118.345404
102105,6456069.928,1898941.775,34.20987141,-118.3492638
102107,6459510.372,1910066.662,34.2404733,-118.3380083
103101,6468650.311,1921962.026,34.27324074,-118.3078874
103102,6468790.14,1918374.656,34.26338434,-118.3073883
103200,6458879.81,1922034.04,34.27335207,-118.3402287
103300,6454252.239,1916237.014,34.25737869,-118.3554781
103400,6466790.684,1915269.739,34.25483549,-118.3139736
104103,6443077.492,1925274.944,34.28209931,-118.3925764
104105,6439410.67,1923123.757,34.27614821,-118.4046862
104108,6441253.964,1922025.177,34.27314972,-118.3985703
104124,6448444.564,1927140.796,34.28728268,-118.3748325
104201,6435978.234,1926905.205,34.28650054,-118.4160998
104203,6437340.162,1924191.136,34.27905811,-118.4115543
104204,6442219.669,1927916.398,34.28934838,-118.3954505
104310,6431980.798,1923236.41,34.27637307,-118.4292815
104320,6434704.52,1922045.535,34.27313236,-118.4202492
104401,6430926.895,1919843.985,34.2670388,-118.4327217
104403,6430381.194,1916838.532,34.25877381,-118.4344849
104404,6432139.698,1918704.026,34.26392065,-118.4286916
104500,6433016.154,1915639.792,34.25551084,-118.4257479
104610,6435064.857,1917423.377,34.26043552,-118.4189927
104620,6434011.918,1916506.631,34.25790433,-118.4224647
104701,6436218.707,1920344.135,34.26847447,-118.415214
104703,6440617.644,1915507.248,34.25523249,-118.4005905
104704,6438128.505,1918173.562,34.26253158,-118.4088637
104810,6437410.677,1913725.004,34.25029957,-118.4111792
104821,6435858.952,1912374.296,34.24657048,-118.4162954
104822,6434459.17,1912112.025,34.24583378,-118.4209236
106010,6427790.983,1941073.361,34.32533621,-118.4434108
106020,6432322.599,1939576.373,34.32127673,-118.4283806
106111,6438637.48,1939516.928,34.32118553,-118.4074655
106112,6437110.087,1933806.777,34.30547781,-118.4124465
106113,6434154.655,1934074.286,34.30617916,-118.4222365
106114,6432713.719,1932824.034,34.30272694,-118.4269903
106403,6428405.227,1934040.562,34.30601863,-118.4412741
106405,6426299.681,1937202.254,34.31468085,-118.4482929
106406,6422720.824,1940022.563,34.32238617,-118.4601875
106407,6429836.904,1935692.18,34.3105742,-118.4365572
106408,6428778.067,1936674.701,34.31326132,-118.4400777
106510,6415205.903,1940486.584,34.32356412,-118.4850839
106520,6422346.534,1935100.856,34.3088574,-118.4613524
106603,6403705.827,1938373.257,34.31759857,-118.5231356
106604,6418618.029,1933511.514,34.3044425,-118.4736742
106641,6408109.99,1931388.988,34.29846908,-118.5084331
106642,6408516.396,1926966.482,34.28632241,-118.5070136
106643,6403990.518,1928129.189,34.28945368,-118.5220166
106645,6412402.792,1928490.281,34.29056275,-118.4941725
106646,6412452.249,1924550.61,34.27973785,-118.4939446
106648,6423986.799,1929358.271,34.29309826,-118.4558345
106649,6422524.718,1927968.761,34.2892618,-118.4606541
107010,6426754.122,1932614.62,34.30208033,-118.4467204
107020,6425611.525,1930971.212,34.2975505,-118.4504793
108101,6398039.624,1924467.631,34.27930582,-118.5416524
108102,6393989.737,1924909.178,34.28045841,-118.5550665
108103,6398552.197,1927055.208,34.28642362,-118.5400017
108104,6396753.443,1929936.25,34.29431353,-118.5460083
108201,6391233.479,1927255.443,34.28686337,-118.564234
108202,6385984.201,1927302.523,34.28691052,-118.5816128
109100,6421750.228,1923571.599,34.27716932,-118.4631511
109200,6418284.769,1923889.355,34.27799804,-118.4746272
109300,6416518.981,1921423.129,34.2711982,-118.4804333
109400,6423988.143,1920485.659,34.26871776,-118.4556969
109500,6427520.824,1922333.663,34.27383923,-118.4440314
